"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Le Christ","Nicolas-Auguste GALIMARD","Nicolas-Auguste","GALIMARD","achevé en 1831","Paris (France), 1813 - Montigny-lès-Cormeilles (Val-d'Oise), 1880","Paris (France)"," 1813 "," Montigny-lès-Cormeilles (Val-d'Oise)"," 1880","Dessin","3","Pierre noire, lavis d'encre, rehauts de craie blanche sur papier marouflé sur toile","130,5 x 57 cm","130,5 x 57 ","130,5 "," 57 ","","1906","Don","1","Don M. Jean Laronze en 1906","1519","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007416"
"François Caillé","Emile GAUCHER","Emile","GAUCHER","1890","Blois (Loir-et-Cher), 1860 - Challans (Vendée), 1909","Blois (Loir-et-Cher)"," 1860 "," Challans (Vendée)"," 1909","Sculpture","1","BusteMarbre","80 x 65 x 30 cm","80 x 65 x 30 ","80 "," 65 "," 30 ","1969","Don","1","Don de M. Cassard en 1969","7029","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001869"
"Tête d'homme","Auguste CHAVARD","Auguste","CHAVARD","s.d.","?, 1810 - ?, 1885","?"," 1810 "," ?"," 1885","Peinture","2","huile sur carton","21,5 x 18,5 cm","21,5 x 18,5 ","21,5 "," 18,5 ","","1937","Don","1","Don de M. Gottraux en 1937","937.14.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005355"
"Surprise","Emile GAUCHER","Emile","GAUCHER","1906","Blois (Loir-et-Cher), 1860 - Challans (Vendée), 1909","Blois (Loir-et-Cher)"," 1860 "," Challans (Vendée)"," 1909","Sculpture","1","Plâtre teinté","hauteur: 64 cm","hauteur: 64 ","hauteur: 64 ","","","1907","Inconnu","0","Acquisition en 1907","1796","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001868"
"Esquisse pour la Vierge, l'Enfant Jésus et Saint-Jean-Baptiste","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb et encre sur calque","30 x 24 cm","30 x 24 ","30 "," 24 ","","1986","Achat","3","Achat en 1986","9550","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007409"
"(Sans titre)","Elise VORUZ","Elise","VORUZ","1er janvier 1896","Lausanne (Suisse), 1844 - Barbizon (Seine-et-Marne), 1909","Lausanne (Suisse)"," 1844 "," Barbizon (Seine-et-Marne)"," 1909","Estampe","4","Pointe sèche","14,3 x 10,5 cm11,6 x 8,5 cm (hors marge)","14,3 x 10,5 ","14,3 "," 10,5 ","","0","Inconnu","0","Acquisition","954.10.4.D (N)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069084"
"Barbizon - Venise","Elise VORUZ","Elise","VORUZ","1er janvier 1907","Lausanne (Suisse), 1844 - Barbizon (Seine-et-Marne), 1909","Lausanne (Suisse)"," 1844 "," Barbizon (Seine-et-Marne)"," 1909","Estampe","4","Pointe sèche","10,5 x 13,4 cm8,8 x 11,8 cm (hors marge)","10,5 x 13,4 ","10,5 "," 13,4 ","","0","Inconnu","0","Acquisition","954.10.4.D (K)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069057"
"Détails du costume d'Henri II","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb","16,6 x 10 cm","16,6 x 10 ","16,6 "," 10 ","","1897","Don","1","Don en 1897","5310","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007221"
"Adolescent à la fourche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Peinture","2","Huile sur toile","32.6 x 23.7 cm","32.6 x 23.7 ","32.6 "," 23.7 ","","1957","Don","1","Don Mme Duvergé en 1957","957.5.3.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005378"
"L'Assomption de la Vierge","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier","21 x 13,5 cm","21 x 13,5 ","21 "," 13,5 ","","0","Inconnu","0","Acquisition","5482","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068928"
"L'Assomption de la Sainte Vierge soutenue par des anges","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","15 x 15 cm","15 x 15 ","15 "," 15 ","","0","Inconnu","0","Acquisition","5492","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068938"
"Homme drapé dans son manteau, tête vers la gauche, bras droit levé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","17,5 x 9,9 cm","17,5 x 9,9 ","17,5 "," 9,9 ","","0","Inconnu","0","Acquisition","4874","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067343"
"Le Vainqueur des Jeux, assis, vêtu, jambes croisées","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume, fusain, crayon blanc et gouache sur papier calque","33,6 x 25 cm","33,6 x 25 ","33,6 "," 25 ","","0","Inconnu","0","Acquisition","4884","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067353"
"Coal Barges, New-York","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1913","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, MatriceEau-forte","20,4 x 12,7 x 0,15 cm","20,4 x 12,7 x 0,15 ","20,4 "," 12,7 "," 0,15 ","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3623","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142976"
"Le petit Pont Neuf, Paris","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1937","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, Matrice cuivreEau-forte","17,6 x 25,6 x 0,15 cm","17,6 x 25,6 x 0,15 ","17,6 "," 25,6 "," 0,15 ","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3610","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142963"
"L'ancien Pont Morand","Antoine BRIENT","Antoine","BRIENT","avant 1936","Rezé (Loire-Atlantique), 1905 - Nantes (Loire-Atlantique), 1936","Rezé (Loire-Atlantique)"," 1905 "," Nantes (Loire-Atlantique)"," 1936","Estampe","4","Eau-forte sur papier","23,3 x 29,4 cm21,2 x 27,8 cm (hors marge)","23,3 x 29,4 ","23,3 "," 29,4 ","","1955","Achat","3","Achat à Louis Goillandeau en 1955","6463","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001360"
"Le Dante (d'après Raphaël)","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume","14,8 x 20,3 cm","14,8 x 20,3 ","14,8 "," 20,3 ","","0","Inconnu","0","Acquisition","3917","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000064746"
"Pêcheurs de la Seine","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1925","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Eau-forte et burin","10 x 11,9 cm","10 x 11,9 ","10 "," 11,9 ","","1928","Achat","3","Achat à l'artiste en 1928","2572","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002260"
"Prisons d'invention nouvelle","Giovanni Battista PIRANESI","Giovanni Battista","PIRANESI","s.d.","Mogliano Veneto (Italie), 1720 - Rome (Italie), 1778","Mogliano Veneto (Italie)"," 1720 "," Rome (Italie)"," 1778","Estampe","4","Eau-forte","55 x 41,5 cm","55 x 41,5 ","55 "," 41,5 ","","1810","Achat","3","Achat à M. François Cacault en 1810","3142","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000078203"
"La mort","Alexandre CHANTRON","Alexandre","CHANTRON","1er quart XXe siècle","Nantes (Loire-Atlantique), 1842 - ?, 1918","Nantes (Loire-Atlantique)"," 1842 "," ?"," 1918","Dessin","3","Fusain sur papier brun","59 x 43,7 cm","59 x 43,7 ","59 "," 43,7 ","","1918","Don","1","Don en 1918","3348","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005482"
"Le bateau vert (Nouvelle Ecosse)","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1906","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","24,8 x 32,8 cm11,9 x 13,2 cm (hors marge)","24,8 x 32,8 ","24,8 "," 32,8 ","","1911","Achat","3","Achat à l'artiste en 1911","1875","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002208"
"Vue de la plaine de Thèbes (Haute-Egypte)","Jean-Léon GÉRÔME","Jean-Léon","GÉRÔME","1857","Vesoul (Haute-Saône), 1824 - Paris (France), 1904","Vesoul (Haute-Saône)"," 1824 "," Paris (France)"," 1904","Dessin","3","Mine de plomb sur papier vergé (filigrane K. Frères)","23 x 34 cm","23 x 34 ","23 "," 34 ","","1977","Achat","3","Achat à la Galerie de Bayser en 1977","7665 ,  977.2.1.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005547"
"Trois couronnes avec un amour","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon noir sur papier calque","17,7 x 11 cm","17,7 x 11 ","17,7 "," 11 ","","0","Inconnu","0","Acquisition","5338","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068800"
"Vierge tenant l'Enfant Jésus, à gauche Saint Joseph, à droite Saint Jean","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon et fusain sur papier calque","27 x 52 cm","27 x 52 ","27 "," 52 ","","0","Inconnu","0","Acquisition","5540","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069354"
"Vieille femme rentrant sa vache","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","s.d.","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Burin","11,3 x 8,8 cm","11,3 x 8,8 ","11,3 "," 8,8 ","","1933","Achat","3","Achat à l'artiste en 1933","2599","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002283"
"Reims, petit portail de l'église Saint-Jacques","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1931","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte sur papier vergé","26,5 x 13,5 cm19,5 x 7 cm (hors marge)","26,5 x 13,5 ","26,5 "," 13,5 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3699","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082141"
"Nancy, la fontaine de Neptune","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1931","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","25,7 x 33 cm19 x 25,5 cm (hors marge)","25,7 x 33 ","25,7 "," 33 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3716(1)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082574"
"La Cène : le Christ","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","23,2 x 16,7 cm","23,2 x 16,7 ","23,2 "," 16,7 ","","0","Inconnu","0","Acquisition","5175","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068368"
"Femme sans voile sur la tête, enfant à peine esquissé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","29,1 x 16 cm","29,1 x 16 ","29,1 "," 16 ","","0","Inconnu","0","Acquisition","5275","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068559"
"Un missionnaire Lazariste baptise un petit païen","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","22,9 x 28,1 cm","22,9 x 28,1 ","22,9 "," 28,1 ","","0","Inconnu","0","Acquisition","5285","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068568"
"Animaux à l'abreuvoir","Alexander VAN BREDAEL","Alexander VAN","BREDAEL","fin XVIIe siècle","Anvers, 1663 - Anvers, 1720","Anvers"," 1663 "," Anvers"," 1720","Peinture","2","Huile sur toile","57 x 84 cm","57 x 84 ","57 "," 84 ","","1810","Achat","3","Achat à M. Cacault en 1810","379","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006299"
"Château de la Brétêche","Félix BENOIST","Félix","BENOIST","XIXe siècle","Saumur (Maine-et-Loire), 1818 - Nantes (Loire-Atlantique), 1896","Saumur (Maine-et-Loire)"," 1818 "," Nantes (Loire-Atlantique)"," 1896","Estampe","4","Série : Nantes et la Loire-InférieureLithographie sur papier Canson","20 x 29 cm","20 x 29 ","20 "," 29 ","","1876","Dépôt","2","Acquisition en 1876EtatDépôt au Musée des Beaux-Arts de Nantes en 1876","3273 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005678"
"Femme de dos, de 3/4 vers la droite, visage très levé, main droite basse, main gauche haute","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","36,2 x 83 cm","36,2 x 83 ","36,2 "," 83 ","","0","Inconnu","0","Acquisition","6071","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069822"
"Femme assise, corps en arrière, visage de 3/4, bras droit relevé sur la tête","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et craie","29 x 34,5 cm","29 x 34,5 ","29 "," 34,5 ","","0","Inconnu","0","Acquisition","6081","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069832"
"Coin de paysage, avec de grosses pierres dans le pré","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Aquarelle sur papier","16 x 31 cm","16 x 31 ","16 "," 31 ","","0","Inconnu","0","Acquisition","5666","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069721"
"Pontchâteau : petit clocher, vieux logis à droite","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","15,3 x 19,7 cm","15,3 x 19,7 ","15,3 "," 19,7 ","","0","Inconnu","0","Acquisition","5667","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069722"
"Portrait de femme","Paul César HELLEU","Paul César","HELLEU","avant 1927","Vannes (Morbihan), 1859 - Paris (France), 1927","Vannes (Morbihan)"," 1859 "," Paris (France)"," 1927","Peinture","2","Pastel sur toile de coton","129.5 x 97.4 cm","129.5 x 97.4 ","129.5 "," 97.4 ","","1977","Don","1","Don Monsieur de Kerlan. en 1977","977.3.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002126"
"Saint Antoine abbé","XVIIe ITALIE,","XVIIe","ITALIE","XVIIe siècle","?, ? - ?, ?","?"," ? "," ?"," ?","Peinture","2","Huile sur toile","62,9 x 43,9 x 2,3 cm","62,9 x 43,9 x 2,3 ","62,9 "," 43,9 "," 2,3 ","1810","Inconnu","0","Acquisition M. François Cacault en 1810","3025","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004649"
"Plaquette de la Chambre de Commerce de Nantes","Frédéric VERNON","Frédéric","VERNON","1903","Paris (France), 1858 - Paris (France), 1912","Paris (France)"," 1858 "," Paris (France)"," 1912","Sculpture","1","Bronze","6,5 x 5 cm","6,5 x 5 ","6,5 "," 5 ","","1903","Don","1","Don de la Chambre de commerce et d'industrie en 1903","1851","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003526"
"Loire, usine de Chantenay","Louis-Robert ANTRAL","Louis-Robert","ANTRAL","XXe siècle","Châlons-sur-Marne (Marne), 1895 - Paris (France), 1939","Châlons-sur-Marne (Marne)"," 1895 "," Paris (France)"," 1939","Dessin","3","Crayon, aquarelle et encre sur papier vergé","32 x 48 cm","32 x 48 ","32 "," 48 ","","1976","Don","1","Don en 1976","976.4.6.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001188"
"Les régates à La Chapelle-sur-Erdre","René PINARD","René","PINARD","1902 - 1905","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Fusain, craie blanche sur papier bleu","23,4 x 30,5 cm","23,4 x 30,5 ","23,4 "," 30,5 ","","1938","Don","1","Don de l'artiste en 1938","3346","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003115"
"Une jeune mère ; souvenir de Picinesca (royaume de Naples)","Paul-Alfred de CURZON","Paul-Alfred de","CURZON","avant 1859","Migné-Auxances (Vienne), 1820 - Paris (France), 1895","Migné-Auxances (Vienne)"," 1820 "," Paris (France)"," 1895","Peinture","2","Elle est assise de face et file au rouet, près d'un berceau posé à terre, à sa droite, et dans lequel dort un enfantHuile sur toile","163 x 130 cm","163 x 130 ","163 "," 130 ","","1859","Achat","3","Achat en salon en 1859","877","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004107"
"La place Vendôme","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1926","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","36,9 x 43,8 cm25,2 x 31,2 cm (hors marge)","36,9 x 43,8 ","36,9 "," 43,8 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3793","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000142820"
"Goliath atteint tombe en arrière. Au fond David","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","22 x 29 cm","22 x 29 ","22 "," 29 ","","0","Inconnu","0","Acquisition","5433","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068878"
"Vue d'un port de mer","Félix THOMAS","Félix","THOMAS","avant 1884","Nantes (Loire-Atlantique), 1815 - Nantes (Loire-Atlantique), 1875","Nantes (Loire-Atlantique)"," 1815 "," Nantes (Loire-Atlantique)"," 1875","Peinture","2","Au fond, une ville en amphithéâtre ; deux bateaux sur la mer au premier plan - Etude ; souvenir de l'Italie méridionale.Huile sur toile","22 x 27 cm","22 x 27 ","22 "," 27 ","","1884","Legs","4","Legs de M. Hasnot de Saint-Léger en 1884","1196","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004304"
"Divers personnages, délégués Italiens, Sir Paunceforte...","Charles TOCHÉ","Charles","TOCHÉ","s.d.","Nantes (Loire-Atlantique), 1851 - Paris (France), 1916","Nantes (Loire-Atlantique)"," 1851 "," Paris (France)"," 1916","Dessin","3","Fusain, lavis, aquarelle et réhaus de gouache blanche  sur papier","54,5 x 185,4 cm","54,5 x 185,4 ","54,5 "," 185,4 ","","1902","Achat","3","Achat à l'artiste en 1902","1636","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003452"
"Etudes de personnages","Francis TATTEGRAIN","Francis","TATTEGRAIN","vers 1896","Péronne (Somme), 1852 - Arras (Pas-de-Calais), 1915","Péronne (Somme)"," 1852 "," Arras (Pas-de-Calais)"," 1915","Dessin","3","Mine de plomb - mis au carreau","27,5 x 20,5 cm","27,5 x 20,5 ","27,5 "," 20,5 ","","1901","Don","1","Don de l'artiste en 1901","1613","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008154"
"Deux têtes d'enfants superposées","Francis TATTEGRAIN","Francis","TATTEGRAIN","vers 1896","Péronne (Somme), 1852 - Arras (Pas-de-Calais), 1915","Péronne (Somme)"," 1852 "," Arras (Pas-de-Calais)"," 1915","Dessin","3","Mine de plomb - mis au carreau","27 x 21 cm","27 x 21 ","27 "," 21 ","","1901","Don","1","Don de l'artiste en 1901","1614","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008155"
"Le duel","James TISSOT","James","TISSOT","achevé en 1884","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Illustration pour un livre Renée Mauperin des GoncourtEau-forte sur papier vergé","15 x 10 cm","15 x 10 ","15 "," 10 ","","1904","Legs","4","Legs de M. Tissot en 1904","3869","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005991"
"Renée Mauperin et son père assis sous le porche de l'église de Morimond","James TISSOT","James","TISSOT","achevé en 1884","Nantes (Loire-Atlantique), 1836 - Buillon (Doubs), 1902","Nantes (Loire-Atlantique)"," 1836 "," Buillon (Doubs)"," 1902","Estampe","4","Illustration pour un livre Renée Mauperin des GoncourtEau-forte sur papier vergé","15 x 10 cm","15 x 10 ","15 "," 10 ","","1904","Legs","4","Legs de M. Tissot en 1904","3870","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005992"
"Paris, le Pont-Neuf","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","1936","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","25,3 x 32,8 cm17,4 x 21,1 cm (hors marge)","25,3 x 32,8 ","25,3 "," 32,8 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3801(2)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082665"
"Un intérieur","Louis-Eugène LAMBERT","Louis-Eugène","LAMBERT","s.d.","Paris (France), 1825 - Paris (France), 1900","Paris (France)"," 1825 "," Paris (France)"," 1900","Peinture","2","huile sur toile","22,7 x 32,3 cm","22,7 x 32,3 ","22,7 "," 32,3 ","","1938","Don","1","Don de Mme Lambert en 1938","2229 ,  938.5.20.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005429"
"Palmiers à Sanary","Georges CHÉNARD-HUCHÉ","Georges","CHÉNARD-HUCHÉ","avant 1934","Nantes (Loire-Atlantique), 1864 - ?, 1937","Nantes (Loire-Atlantique)"," 1864 "," ?"," 1937","Peinture","2","Huile sur toile","65 x 54 cm","65 x 54 ","65 "," 54 ","","1934","Dépôt","2","Achat en 1934EtatDépôt au Musée des Beaux-Arts de Nantes en 1934","13297","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001513"
"Jeune Gaulois prisonnier","Mme Léon BERTAUX ","Mme Léon","BERTAUX","1867","Paris (France), 1825 - Saint-Michel-de-Chavaignes (Sarthe), 1909","Paris (France)"," 1825 "," Saint-Michel-de-Chavaignes (Sarthe)"," 1909","Sculpture","1","Marbre","161 x 49 x 46 cm","161 x 49 x 46 ","161 "," 49 "," 46 ","1867","Dépôt","2","Achat à l'artiste en 1867EtatDépôt au Musée des Beaux-Arts de Nantes en 1869","1737 [n° inv. déposant ou prêteur]","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004757"
"Petit breton près du Faouët, Sainte Barbe","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","1852","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","","18,8 x 11,3 cm","18,8 x 11,3 ","18,8 "," 11,3 ","","0","Inconnu","0","Acquisition","4093","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000006418"
"Rochers de Tibère, Ile de Capri","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","septembre 1857","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb - papier dessin beige","20,6 x 31 cm","20,6 x 31 ","20,6 "," 31 ","","0","Inconnu","0","Acquisition","4513","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007596"
"Paysage","Adolphe APPIAN ","Adolphe","APPIAN","1862","Lyon (Rhône), 1819 - Lyon (Rhône), 1898","Lyon (Rhône)"," 1819 "," Lyon (Rhône)"," 1898","Peinture","2","Etude""Elle semble être l’étude d’une composition autrefois présentée au Salon de Lyon en 1862, L’étang de Frignon à Creys (Isère), dont il existe un dessin à la plume et lavis et qui fut tirée en gravure* de manière inversée sous ce titre en 1862."" CSHuile sur bois","16 x 33,9 cm","16 x 33,9 ","16 "," 33,9 ","","1896","Legs","4","Legs de M. Corseul en 1896","794","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004034"
